"timestamp","source_id","source_label","source_type","source_ip","target_id","target_label","target_type","target_ip","protocol","bytes_sent","bytes_recv","latency_ms","packet_loss_pct","port","severity","event_type","flag","metadata"
"2024-06-10T06:00:00Z","dev-repo","GitHub Enterprise","code_repository","10.1.0.10","build-01","Jenkins CI Primary","ci_server","10.1.1.10","HTTPS","45000","2048","320.0","0.0","443","low","code_push","SYN","{""branch"": ""main"", ""commit"": ""a1b2c3d"", ""author"": ""dev-team"", ""tests_passed"": true}"
"2024-06-10T06:05:00Z","build-01","Jenkins CI Primary","ci_server","10.1.1.10","artifact-store","Artifactory","artifact_registry","10.1.2.10","HTTPS","250000000","4096","890.0","0.0","443","low","artifact_publish","SYN","{""artifact"": ""solarwinds-orion-9.8.2.tar.gz"", ""signed"": true, ""checksum"": ""abc123""}"
"2024-06-10T06:10:00Z","artifact-store","Artifactory","artifact_registry","10.1.2.10","cdn-dist","Akamai CDN","cdn","EXTERNAL","HTTPS","250000000","1024","45.0","0.0","443","low","distribution","SYN","{""artifact"": ""solarwinds-orion-9.8.2"", ""customers"": 18000, ""region"": ""global""}"
"2024-06-10T02:14:00Z","apt-actor","APT29 Cozy Bear","threat_actor","185.220.101.5","build-01","Jenkins CI Primary","ci_server","10.1.1.10","HTTPS","65536","32768","88.0","12.0","443","critical","initial_access","SYN","{""technique"": ""T1190"", ""cve"": ""CVE-2024-28986"", ""method"": ""sqli"", ""foothold"": true}"
"2024-06-10T02:30:00Z","apt-actor","APT29 Cozy Bear","threat_actor","185.220.101.5","build-01","Jenkins CI Primary","ci_server","10.1.1.10","TCP","4096","65536","92.0","0.0","4444","critical","c2_implant","SYN","{""implant"": ""SUNBURST"", ""persistence"": ""scheduled_task"", ""encrypted"": true}"
"2024-06-10T03:00:00Z","build-01","Jenkins CI Primary","ci_server","10.1.1.10","source-code","Orion Source Tree","code_repository","10.1.0.20","SSH","8192","1024","12.0","0.0","22","critical","malicious_commit","SYN","{""injected_file"": ""SolarWinds.Orion.Core.BusinessLayer.dll"", ""backdoor"": true, ""obfuscated"": true}"
"2024-06-10T07:00:00Z","build-01","Jenkins CI Primary","ci_server","10.1.1.10","artifact-store","Artifactory","artifact_registry","10.1.2.10","HTTPS","252000000","4096","910.0","0.0","443","critical","artifact_publish","SYN","{""artifact"": ""solarwinds-orion-9.8.3.TROJANISED.tar.gz"", ""signed"": true, ""tampered"": true}"
"2024-06-10T08:00:00Z","artifact-store","Artifactory","artifact_registry","10.1.2.10","victim-01","US Treasury SIEM","victim_enterprise","152.114.52.10","HTTPS","252000000","1024","220.0","0.0","443","critical","update_delivered","SYN","{""victim"": ""US Treasury"", ""install_triggered"": true, ""detection"": false}"
"2024-06-10T08:00:00Z","artifact-store","Artifactory","artifact_registry","10.1.2.10","victim-02","FireEye SOC","victim_enterprise","72.14.192.10","HTTPS","252000000","1024","210.0","0.0","443","critical","update_delivered","SYN","{""victim"": ""FireEye"", ""install_triggered"": true, ""detection"": false}"
"2024-06-10T08:00:00Z","artifact-store","Artifactory","artifact_registry","10.1.2.10","victim-03","DHS Network","victim_enterprise","161.203.128.10","HTTPS","252000000","1024","195.0","0.0","443","critical","update_delivered","SYN","{""victim"": ""DHS"", ""install_triggered"": true, ""detection"": false}"
